provincia,municipio,poblacion
pobmun98,1659,7999
pobmun98,166,61
pobmun98,1660,158
pobmun98,1661,1708
pobmun98,1662,389
pobmun98,1663,2115
pobmun98,1664,388
pobmun98,1665,1205
pobmun98,1666,9163
pobmun98,1667,373
pobmun98,1668,602
pobmun98,1669,56
pobmun98,167,3427
pobmun98,1670,316
pobmun98,1671,463
pobmun98,1672,676
pobmun98,1673,317
pobmun98,1674,3734
pobmun98,1675,471
pobmun98,1676,54
pobmun98,1677,334
pobmun98,1678,385
pobmun98,1679,2062
pobmun98,168,1459
pobmun98,1680,351
pobmun98,1681,210
pobmun98,1682,265
pobmun98,1683,154
pobmun98,1684,39
pobmun98,1685,66989
pobmun98,1686,39
pobmun98,1687,143
pobmun98,1688,1114
pobmun98,1689,79
pobmun98,169,92
pobmun98,1690,527
pobmun98,1691,40348
pobmun98,1692,218
pobmun98,1693,1959
pobmun98,1694,125
pobmun98,1695,587
pobmun98,1696,65
pobmun98,1697,113
pobmun98,1698,282
pobmun98,1699,521
pobmun98,17,627
pobmun98,170,292
pobmun98,1700,142
pobmun98,1701,45
pobmun98,1702,286
pobmun98,1703,551
pobmun98,1704,1008
pobmun98,1705,4237
pobmun98,1706,1661
pobmun98,1707,217
pobmun98,1708,313
pobmun98,1709,670
pobmun98,171,372
pobmun98,1710,111
pobmun98,1711,12498
pobmun98,1712,18404
pobmun98,1713,34
pobmun98,1714,127
pobmun98,1715,284
pobmun98,1716,198
pobmun98,1717,1006
pobmun98,1718,582
pobmun98,1719,1467
pobmun98,172,1460
pobmun98,1720,46
pobmun98,1721,490
pobmun98,1722,894
pobmun98,1723,178
pobmun98,1724,914
pobmun98,1725,317
pobmun98,1726,360
pobmun98,1727,2958
pobmun98,1728,56
pobmun98,1729,396
pobmun98,173,139
pobmun98,1730,9975
pobmun98,1731,223
pobmun98,1732,130
pobmun98,1733,1662
pobmun98,1734,107
pobmun98,1735,171
pobmun98,1736,33882
pobmun98,1737,152
pobmun98,1738,513
pobmun98,1739,821
pobmun98,174,40390
pobmun98,1740,219
pobmun98,1741,212
pobmun98,1742,612
pobmun98,1743,222
pobmun98,1744,279
pobmun98,1745,359
pobmun98,1746,145
pobmun98,1747,172
pobmun98,1748,1258
pobmun98,1749,582
pobmun98,175,135
pobmun98,1750,774
pobmun98,1751,601
pobmun98,1752,187
pobmun98,1753,539
pobmun98,1754,41
pobmun98,1755,194
pobmun98,1756,350
pobmun98,1757,6010
pobmun98,1758,1000
pobmun98,1759,1546
pobmun98,176,16989
pobmun98,1760,318
pobmun98,1761,1204
pobmun98,1762,355
pobmun98,1763,1023
pobmun98,1764,1514
pobmun98,1765,616
pobmun98,1766,144
pobmun98,1767,48
pobmun98,1768,264
pobmun98,1769,1126
pobmun98,177,187
pobmun98,1770,4161
pobmun98,1771,241
pobmun98,1772,659
pobmun98,1773,130
pobmun98,1774,183
pobmun98,1775,407
